subsystem	short_name	long_name
Alpha-glucoside utilization in bifidobacteria	MelA	Melezitose ABC transporter substrate-binding component (TC 3.A.1.1)
Alpha-glucoside utilization in bifidobacteria	MelB	Melezitose ABC transporter permease component 1 (TC 3.A.1.1)
Alpha-glucoside utilization in bifidobacteria	MelC	Melezitose ABC transporter permease component 2 (TC 3.A.1.1)
Alpha-glucoside utilization in bifidobacteria	MelR1	Transcriptional regulator of melezitose utilization-1 (LacI family)
Alpha-glucoside utilization in bifidobacteria	MelR2	Transcriptional regulator of melezitose utilization-2 (LacI family)
Alpha-glucoside utilization in bifidobacteria	Agl31A	Putative alpha-glucosidase (GH31)
Alpha-glucoside utilization in bifidobacteria	AglA	Predicted alpha-glucoside ABC transporter substrate-binding component (TC 3.A.1.1)
Alpha-glucoside utilization in bifidobacteria	AglB	Predicted alpha-glucoside ABC transporter permease component 1 (TC 3.A.1.1)
Alpha-glucoside utilization in bifidobacteria	AglC	Predicted alpha-glucoside ABC transporter permease component 2 (TC 3.A.1.1)
Alpha-glucoside utilization in bifidobacteria	AglR	Putative transcriptional regulator of alpha-glucoside utilization (LacI family)
Alpha-glucoside utilization in bifidobacteria	Agl31B	Putative alpha-glucosidase-2 (GH31)
Alpha-glucoside utilization in bifidobacteria	MalR2	Putative transcriptional regulator of alpha-glucosidase (LacI family)
Alpha-glucoside utilization in bifidobacteria	Agl31C	Putative alpha-glucosidase-3 (GH31)
Alpha-glucoside utilization in bifidobacteria	AglA2	Predicted alpha-glucoside ABC transporter-2 substrate-binding component (TC 3.A.1.1)
Alpha-glucoside utilization in bifidobacteria	AglB2	Predicted alpha-glucoside ABC transporter-2 permease component 1 (TC 3.A.1.1)
Alpha-glucoside utilization in bifidobacteria	AglC2	Predicted alpha-glucoside ABC transporter-2 permease component 2 (TC 3.A.1.1)
Alpha-glucoside utilization in bifidobacteria	AglR2	Putative transcriptional regulator of alpha-glucoside utilization-2 (LacI family)
Beta-glucoside utilization in bifidobacteria	Bgl3A	Beta-glucosidase-1 (GH3)
Beta-glucoside utilization in bifidobacteria	BgrT1	Predicted transcriptional regulator of beta-glucoside utilization (TetR family)
Beta-glucoside utilization in bifidobacteria	Bgl3B	Beta-glucosidase-2 (GH3)
Beta-glucoside utilization in bifidobacteria	BgrT2	Predicted transcriptional regulator of beta-glucoside utilization-2 (TetR family)
Beta-glucoside utilization in bifidobacteria	Bgl3C	Beta-glucosidase-3 (GH3)
Beta-glucoside utilization in bifidobacteria	BaGlu1	Broad specificity beta-glucosidase (GH1)
Beta-glucoside utilization in bifidobacteria	CldC	Beta-glucosidase-1 (GH1)
Beta-glucoside utilization in bifidobacteria	CldE	Cellobiose and cellodextrin ABC transporter substrate-binding component (TC 3.A.1.1)
Beta-glucoside utilization in bifidobacteria	CldF	Cellobiose and cellodextrin ABC transporter permease component 1 (TC 3.A.1.1)
Beta-glucoside utilization in bifidobacteria	CldG	Cellobiose and cellodextrin ABC transporter permease component 2 (TC 3.A.1.1)
Beta-glucoside utilization in bifidobacteria	CldR	Transcriptional regulator of cellobiose and cellodextrin utilization (LacI family)
Beta-glucoside utilization in bifidobacteria	Bgl1B	Beta-glucosidase-2 (GH1)
Beta-glucoside utilization in bifidobacteria	BglA	Putative beta-glucooligosaccharide ABC transporter substrate-binding component (TC 3.A.1.1)
Beta-glucoside utilization in bifidobacteria	BglB	Putative beta-glucooligosaccharide ABC transporter permease component 1 (TC 3.A.1.1)
Beta-glucoside utilization in bifidobacteria	BglC	Putative beta-glucooligosaccharide ABC transporter permease component 2 (TC 3.A.1.1)
Beta-glucoside utilization in bifidobacteria	BglR	Putative transcriptional regulator of beta-glucooligosaccharide utilization (LacI family)
Beta-glucoside utilization in bifidobacteria	Bgl1A	Putative beta-glucosidase-1 (GH1)
Beta-glucoside utilization in bifidobacteria	BglA2	Putative beta-glucooligosaccharide ABC transporter-2 substrate-binding component (TC 3.A.1.1)
Beta-glucoside utilization in bifidobacteria	BglB2	Putative beta-glucooligosaccharide ABC transporter-2 permease component 1 (TC 3.A.1.1)
Beta-glucoside utilization in bifidobacteria	BglC2	Putative beta-glucooligosaccharide ABC transporter-2 permease component 2 (TC 3.A.1.1)
Beta-glucoside utilization in bifidobacteria	BglR2	Putative transcriptional regulator of beta-glucooligosaccharide utilization (AraC family)
Beta-glucoside utilization in bifidobacteria	GenP	Putative gentiobiose MFS permease (TC 2.A.1.2)
Beta-glucoside utilization in bifidobacteria	LiSOGP	1,2-beta-oligoglucan phosphorylase (EC 2.4.1.333)
Beta-glucoside utilization in bifidobacteria	Bgl3D	Putative beta-glucosidase-1 (GH3)
Beta-glucoside utilization in bifidobacteria	BglK	Putative beta-1,2-oligoglucan ABC transporter substrate-binding component (TC 3.A.1.5)
Beta-glucoside utilization in bifidobacteria	BglL	Putative beta-1,2-oligoglucan ABC transporter permease component 1 (TC 3.A.1.5)
Beta-glucoside utilization in bifidobacteria	BglM	Putative beta-1,2-oligoglucan ABC transporter permease component 2 (TC 3.A.1.5)
Beta-glucoside utilization in bifidobacteria	BglN	Putative beta-1,2-oligoglucan ABC transporter ATP-binding component 1 (TC 3.A.1.5)
Beta-glucoside utilization in bifidobacteria	BglO	Putative beta-1,2-oligoglucan ABC transporter ATP-binding component 2 (TC 3.A.1.5)
Beta-glucoside utilization in bifidobacteria	BglR3	Putative transcriptional regulator of beta-1,2-oligoglucan utilization (LacI family)
Beta-glucoside utilization in bifidobacteria	Bgn30	Putative beta-glucanase (GH30_3)
Beta-glucoside utilization in bifidobacteria	Bgl3E	Putative beta-glucosidase-2 (GH3)
Beta-glucoside utilization in bifidobacteria	Bgl2	Putative glycoside hydrolase (GH2)
Beta-glucoside utilization in bifidobacteria	BglX	Bgl cluster ABC transporter substrate-binding component (TC 3.A.1.1)
Beta-glucoside utilization in bifidobacteria	BglY	Bgl cluster ABC transporter permease component 1 (TC 3.A.1.1)
Beta-glucoside utilization in bifidobacteria	BglZ	Bgl cluster ABC transporter permease component 2 (TC 3.A.1.1)
Beta-glucoside utilization in bifidobacteria	BglT	Predicted transcriptional regulator of the bgl cluster (TetR family)
Beta-glucoside utilization in bifidobacteria	BglT	Predicted transcriptional regulator of the bgl cluster (TetR family)
Beta-glucoside utilization in bifidobacteria	BglPa	Putative beta-glucoside PTS system IIA component (TC 4.A.3)
Beta-glucoside utilization in bifidobacteria	BglPb	Putative beta-glucoside PTS system IIB component (TC 4.A.3)
Beta-glucoside utilization in bifidobacteria	BglPc	Putative beta-glucoside PTS system IIC component (TC 4.A.3)
Beta-glucoside utilization in bifidobacteria	Bgl1C	6-phospho-beta-glucosidase (EC 3.2.1.86)
Beta-glucoside utilization in bifidobacteria	Gin30	Flavonoid/ginsenoside beta-xylosidase (GH30_2)
Beta-glucoside utilization in bifidobacteria	Gin43	Putative flavonoid/ginsenoside beta-xylosidase (GH43_11)
Beta-glucoside utilization in bifidobacteria	BlArap42B	Flavonoid/ginsenoside alpha-L-arabinopyranosidase (GH42)
Beta-glucoside utilization in bifidobacteria	Gin51	Putative flavonoid/ginsenoside alpha-L-arabinofuranosidase (GH51)
Beta-glucoside utilization in bifidobacteria	Gin5	Putative flavonoid/ginsenoside glycoside hydrolase (GH5_44)
Beta-glucoside utilization in bifidobacteria	GinT	Predicted flavonoid/ginsenoside MFS permease (TC 2.A.1.2)
Beta-glucoside utilization in bifidobacteria	BgrT3	Predicted transcriptional regulator of beta-glucoside utilization-3 (TetR family)
Beta-glucoside utilization in bifidobacteria	BgrT4	Predicted transcriptional regulator of beta-glucoside utilization-4 (TetR family)
Beta-glucoside utilization in bifidobacteria	BgrT6	Predicted transcriptional regulator of beta-glucoside utilization-6 (TetR family)
Beta-glucoside utilization in bifidobacteria	Rgl78	Flavonoid/ginsenoside alpha-rhamnosidase (GH78)
Beta-glucoside utilization in bifidobacteria	RglT	Putative rhamnoglycoside MFS permease (TC 2.A.1.2)
Beta-glucoside utilization in bifidobacteria	RglT2	Putative rhamnoglycoside MFS permease (TC 2.A.1.1)
Beta-glucoside utilization in bifidobacteria	RglR	Putative transcriptional regulator of rhamnoglycoside utilization (LacI family)
Alpha-galactoside utilization in bifidobacteria	RafA	Alpha-1,6/4/3-galactosidase (GH36)
Alpha-galactoside utilization in bifidobacteria	RafA2	Alpha-1,6-galactosidase (GH36)
Alpha-galactoside utilization in bifidobacteria	RafB	Raffinose family oligosaccharide ABC transporter substrate-binding component (TC 3.A.1.1.53)
Alpha-galactoside utilization in bifidobacteria	RafC	Raffinose family oligosaccharide ABC transporter permease component 1 (TC 3.A.1.1.53)
Alpha-galactoside utilization in bifidobacteria	RafD	Raffinose family oligosaccharide ABC transporter permease component 2 (TC 3.A.1.1.53)
Alpha-galactoside utilization in bifidobacteria	RafR	Transcriptional regulator of raffinose family oligosaccharide utilization (ROK family)
Beta-galactoside utilization in bifidobacteria	Bga2A	Beta-1,4-galactosidase (GH2)
Beta-galactoside utilization in bifidobacteria	Bga2B	Beta-1,4-galactosidase-2 (GH2)
Beta-galactoside utilization in bifidobacteria	Bga2C	Beta-1,4-galactosidase-3 (GH2)
Beta-galactoside utilization in bifidobacteria	Bga2E	Putative beta-galactosidase (GH2)
Beta-galactoside utilization in bifidobacteria	Bga2F	Putative beta-galactosidase-2 (GH2)
Beta-galactoside utilization in bifidobacteria	LacL	Beta-galactosidase large subunit (EC 3.2.1.23)
Beta-galactoside utilization in bifidobacteria	LacM	Beta-galactosidase small subunit (EC 3.2.1.23)
Beta-galactoside utilization in bifidobacteria	LacS	Lactose MFS permease (TC 2.A.2)
Beta-galactoside utilization in bifidobacteria	LacR	Putative transcriptional regulator of lactose utilization (LacI family)
Beta-galactoside utilization in bifidobacteria	Bga2D	Beta-1,3-galactosidase (GH2)
Beta-galactoside utilization in bifidobacteria	GosT	Beta-1,3-linked galactooligosaccharide MFS permease (TC 2.A.2)
Beta-galactoside utilization in bifidobacteria	BgaR2	Putative transcriptional regulator of beta-1,3-linked galactooligosaccharide utilization (LacI family)
Beta-galactoside utilization in bifidobacteria	Bga42B	Beta-1,4-galactosidase (GH42)
Beta-galactoside utilization in bifidobacteria	Bga42C	Beta-1,4-galactosidase-2 (GH42)
Beta-galactoside utilization in bifidobacteria	Bga42D	Putative beta-galactosidase (GH42)
Beta-galactoside utilization in bifidobacteria	Bga35	Putative beta-galactosidase (GH35)
Beta-galactoside utilization in bifidobacteria	GalA	Extracellular endo-beta-1,4/3-galactanase (GH53)
Beta-galactoside utilization in bifidobacteria	GosA	Beta-1,4-linked galactooligosaccharide ABC transporter substrate-binding component (TC 3.A.1.1)
Beta-galactoside utilization in bifidobacteria	GosB	Beta-1,4-linked galactooligosaccharide ABC transporter permease component 1 (TC 3.A.1.1)
Beta-galactoside utilization in bifidobacteria	GosC	Beta-1,4-linked galactooligosaccharide ABC transporter permease component 2 (TC 3.A.1.1)
Beta-galactoside utilization in bifidobacteria	GosA2	Putative beta-1,4-linked galactooligosaccharide ABC transporter substrate-binding component (TC 3.A.1.1)
Beta-galactoside utilization in bifidobacteria	GosB2	Putative beta-1,4-linked galactooligosaccharide ABC transporter permease component 1 (TC 3.A.1.1)
Beta-galactoside utilization in bifidobacteria	GosC2	Putative beta-1,4-linked galactooligosaccharide ABC transporter permease component 2 (TC 3.A.1.1)
Beta-galactoside utilization in bifidobacteria	GosR	Transcriptional regulator of beta-1,4-linked galactooligosaccharide utilization (LacI family)
Beta-galactoside utilization in bifidobacteria	GosR2	Putative transcriptional regulator of beta-1,4-linked galactooligosaccharide utilization (LacI family)
Beta-galactoside utilization in bifidobacteria	Bga42A	Beta-1,3/4/6-galactosidase (GH42)
Beta-galactoside utilization in bifidobacteria	GosF	Beta-1,6-linked galactooligosaccharide ABC transporter substrate-binding component (TC 3.A.1.1)
Beta-galactoside utilization in bifidobacteria	GosG	Beta-1,6-linked galactooligosaccharide ABC transporter permease component 1 (TC 3.A.1.1)
Beta-galactoside utilization in bifidobacteria	GosH	Beta-1,6-linked galactooligosaccharide ABC transporter permease component 2 (TC 3.A.1.1)
Beta-galactoside utilization in bifidobacteria	GosX	Putative galactooligosaccharide ABC transporter substrate-binding component (TC 3.A.1.1)
Beta-galactoside utilization in bifidobacteria	LctT	Lactulose ABC transporter substrate-binding component (TC 3.A.1.1)
Beta-galactoside utilization in bifidobacteria	BgaR	Putative transcriptional regulator of beta-1,6-linked galactooligosaccharide utilization (LacI family)
Beta-galactoside utilization in bifidobacteria	BgaR3	Putative transcriptional regulator of galactooligosaccharide utilization (LacI family)
Beta-galactoside utilization in bifidobacteria	Bll3HypBA1	Extracellular beta-1,3-L-arabinofuranosidase (GH146)
Beta-galactoside utilization in bifidobacteria	BlArafA	Extracellular alpha-1,3-L-arabinofuranosidase (GH43_22)
Beta-galactoside utilization in bifidobacteria	BlArafE	Extracellular alpha-1,3/4-L-arabinofuranosidase (GH43_22_34)
Beta-galactoside utilization in bifidobacteria	Bl13Gal	Extracellular exo-beta-1,3-galactanase (GH43_24)
Beta-galactoside utilization in bifidobacteria	Bl16Gal	Extracellular exo-beta-1,6-galactobiohydrolase (GH30_5)
Beta-galactoside utilization in bifidobacteria	Gaf39	Extracellular 3-O-alpha-D-galactosyl-alpha-L-arabinofuranosidase (GH39)
Beta-galactoside utilization in bifidobacteria	Gaf36	Alpha-1,3-galactosidase (GH36)
Beta-galactoside utilization in bifidobacteria	GafA	Putative Gal(a1-3)Araf ABC transporter substrate-binding component (TC 3.A.1.1)
Beta-galactoside utilization in bifidobacteria	GafB	Putative Gal(a1-3)Araf ABC transporter permease component 1 (TC 3.A.1.1)
Beta-galactoside utilization in bifidobacteria	GafC	Putative Gal(a1-3)Araf ABC transporter permease component 2 (TC 3.A.1.1)
Beta-galactoside utilization in bifidobacteria	GafR	Putative transcriptional regulator of Gal(a1-3)Araf utilization (LacI family)
Beta-galactoside utilization in bifidobacteria	Aaf39	Extracellular 3-O-beta-L-arabinopyranosyl-alpha-L-arabinofuranosidase (GH39)
Beta-galactoside utilization in bifidobacteria	Aaf36	Putative beta-L-arabinopyranosidase (GH36)
Beta-galactoside utilization in bifidobacteria	AafA	Putative Arap(b1-3)Araf ABC transporter substrate-binding component (TC 3.A.1.1)
Beta-galactoside utilization in bifidobacteria	AafB	Putative Arap(b1-3)Araf ABC transporter permease component 1 (TC 3.A.1.1)
Beta-galactoside utilization in bifidobacteria	AafC	Putative Arap(b1-3)Araf ABC transporter permease component 2 (TC 3.A.1.1)
Beta-galactoside utilization in bifidobacteria	AafR	Putative transcriptional regulator of Arap(b1-3)Araf utilization (LacI family)
Fructose and fructoside utilization in bifidobacteria	Frk	Fructokinase (EC 2.7.1.4)
Fructose and fructoside utilization in bifidobacteria	FruP	Putative fructose MFS permease (TC 2.A.1.7)
Fructose and fructoside utilization in bifidobacteria	FruE	Fructose/xylose/ribose/arabinose ABC transporter substrate-binding component (TC 3.A.1.2.23)
Fructose and fructoside utilization in bifidobacteria	FruF	Fructose/xylose/ribose/arabinose ABC transporter permease component 1 (TC 3.A.1.2.23)
Fructose and fructoside utilization in bifidobacteria	FruG	Fructose/xylose/ribose/arabinose ABC transporter permease component 2 (TC 3.A.1.2.23)
Fructose and fructoside utilization in bifidobacteria	FruK	Fructose/xylose/ribose/arabinose ABC transporter ATP-binding component (TC 3.A.1.2.23)
Fructose and fructoside utilization in bifidobacteria	FruA	Fructose-specific PTS system IIABC components (TC 4.A.1.2.18)
Fructose and fructoside utilization in bifidobacteria	FruA2a	Fructose-specific PTS system IIA component (TC 4.A.7)
Fructose and fructoside utilization in bifidobacteria	FruA2b	Fructose-specific PTS system IIB component (TC 4.A.7)
Fructose and fructoside utilization in bifidobacteria	FruA2c	Fructose-specific PTS system IIC component (TC 4.A.7)
Fructose and fructoside utilization in bifidobacteria	FruR	Putative transcriptional regulator of fructose utilization (ROK family)
Fructose and fructoside utilization in bifidobacteria	FruR2	Putative transcriptional regulator of fructose-specific PTS system (GntR family)
Fructose and fructoside utilization in bifidobacteria	FruT	Putative transcriptional antiterminator of fructose-specific PTS system (BglG family)
Fructose and fructoside utilization in bifidobacteria	ScrP	Sucrose phosphorylase (EC 2.4.1.7)
Fructose and fructoside utilization in bifidobacteria	ScrT	Putative sucrose MFS permease (TC 2.A.1.2)
Fructose and fructoside utilization in bifidobacteria	Agl13D	Putative alpha-glucosidase (GH13_44)
Fructose and fructoside utilization in bifidobacteria	ScrF	Putative sucrose ABC transporter substrate-binding component (TC 3.A.1.1)
Fructose and fructoside utilization in bifidobacteria	ScrG	Putative sucrose ABC transporter permease component 1 (TC 3.A.1.1)
Fructose and fructoside utilization in bifidobacteria	ScrH	Putative sucrose ABC transporter permease component 2 (TC 3.A.1.1)
Fructose and fructoside utilization in bifidobacteria	ScrR	Putative transcriptional regulator of sucrose utilization (LacI family)
Fructose and fructoside utilization in bifidobacteria	AmsA	Amylosucrase (EC 2.4.1.4)
Fructose and fructoside utilization in bifidobacteria	CscA	Beta-2,1/6-fructofuranosidase-2 (GH32)
Fructose and fructoside utilization in bifidobacteria	CscB	Putative sucrose MFS permease (TC 2.A.1.5)
Fructose and fructoside utilization in bifidobacteria	CscR	Putative transcriptional regulator of sucrose utilization-2 (LacI family)
Fructose and fructoside utilization in bifidobacteria	ScrA	Putative beta-fructofuranosidase-1 (GH32)
Fructose and fructoside utilization in bifidobacteria	ScrB	Putative sucrose/fructooligosaccharide ABC transporter substrate-binding component (TC 3.A.1.1)
Fructose and fructoside utilization in bifidobacteria	ScrR2	Putative transcriptional regulator of sucrose utilization-3 (LacI family)
Fructose and fructoside utilization in bifidobacteria	BfrA	Beta-2,1/6-fructofuranosidase (GH32)
Fructose and fructoside utilization in bifidobacteria	BfrB	Putative fructooligosaccharide ABC transporter substrate-binding component (TC 3.A.1.1)
Fructose and fructoside utilization in bifidobacteria	BfrC	Putative fructooligosaccharide ABC transporter permease component 1 (TC 3.A.1.1)
Fructose and fructoside utilization in bifidobacteria	BfrD	Putative fructooligosaccharide ABC transporter permease component 2 (TC 3.A.1.1)
Fructose and fructoside utilization in bifidobacteria	BfrR	Putative transcriptional regulator of fructooligosaccharide utilization (LacI family)
Fructose and fructoside utilization in bifidobacteria	BfrA2	Putative beta-fructofuranosidase-2 (GH32)
Fructose and fructoside utilization in bifidobacteria	BfrB2	Putative fructooligosaccharide ABC transporter-2 substrate-binding component (TC 3.A.1.1)
Fructose and fructoside utilization in bifidobacteria	BfrC2	Putative fructooligosaccharide ABC transporter-2 permease component 1 (TC 3.A.1.1)
Fructose and fructoside utilization in bifidobacteria	BfrD2	Putative fructooligosaccharide ABC transporter-2 permease component 2 (TC 3.A.1.1)
Fructose and fructoside utilization in bifidobacteria	BfrR2	Putative transcriptional regulator of fructooligosaccharide utilization-2 (LacI family)
Fructose and fructoside utilization in bifidobacteria	BfrA3	Putative beta-fructofuranosidase-3 (GH32)
Fructose and fructoside utilization in bifidobacteria	aFFase1	Difructose dianhydride I synthase/hydrolase (GH172)
Fructose and fructoside utilization in bifidobacteria	DfaA	Putative difructose dianhydride ABC transporter substrate-binding component (TC 3.A.1.1)
Fructose and fructoside utilization in bifidobacteria	DfaB	Putative difructose dianhydride ABC transporter permease component 1 (TC 3.A.1.1)
Fructose and fructoside utilization in bifidobacteria	DfaC	Putative difructose dianhydride ABC transporter permease component 2 (TC 3.A.1.1)
Fructose and fructoside utilization in bifidobacteria	DfaR	Putative transcriptional regulator of caramelized fructose utilization (LacI family)
Fructose and fructoside utilization in bifidobacteria	DFAase91	Difructose dianhydride III hydrolase (GH91)
Fructose and fructoside utilization in bifidobacteria	DfaF	Putative difructose dianhydride ABC transporter-2 substrate-binding component (TC 3.A.1.1)
Fructose and fructoside utilization in bifidobacteria	DfaG	Putative difructose dianhydride ABC transporter-2 permease component 1 (TC 3.A.1.1)
Fructose and fructoside utilization in bifidobacteria	DfaH	Putative difructose dianhydride ABC transporter-2 permease component 2 (TC 3.A.1.1)
Fructose and fructoside utilization in bifidobacteria	DfaR2	Putative transcriptional regulator of caramelized fructose utilization-2 (LacI family)
Mannose and mannoside utilization in bifidobacteria	ManA	Mannose-6-phosphate isomerase (EC 5.3.1.8)
Mannose and mannoside utilization in bifidobacteria	ManI	D-mannose isomerase (EC 5.3.1.7)
Mannose and mannoside utilization in bifidobacteria	Mnb2	Putative beta-1,4-mannosidase (GH2)
Mannose and mannoside utilization in bifidobacteria	BaMan26A	Extracellular endo-beta-1,4-mannanase (GH26)
Mannose and mannoside utilization in bifidobacteria	BlMan5_8	Extracellular endo-beta-1,4-mannanase (GH5_8)
Mannose and mannoside utilization in bifidobacteria	BdAga36	Putative galactomannan oligosaccharide-acting alpha-1,6-galactosidase (GH36)
Mannose and mannoside utilization in bifidobacteria	BaGlu1	Broad specificity beta-glucosidase (GH1)
Mannose and mannoside utilization in bifidobacteria	BdAme2	Putative acetylmannan esterase (CE2)
Mannose and mannoside utilization in bifidobacteria	MnbA	Beta-mannose-oligosaccharide ABC transporter substrate-binding component (TC 3.A.1.1)
Mannose and mannoside utilization in bifidobacteria	MnbB	Beta-mannose-oligosaccharide ABC transporter permease component 1 (TC 3.A.1.1)
Mannose and mannoside utilization in bifidobacteria	MnbC	Beta-mannose-oligosaccharide ABC transporter permease component 2 (TC 3.A.1.1)
Mannose and mannoside utilization in bifidobacteria	ManE	Putative beta-mannose-oligosaccharide ABC transport system substrate-binding component (TC 3.A.1)
Mannose and mannoside utilization in bifidobacteria	ManF	Putative beta-mannose-oligosaccharide ABC transport system permease component 1 (TC 3.A.1)
Mannose and mannoside utilization in bifidobacteria	ManG	Putative beta-mannose-oligosaccharide ABC transport system permease component 2 (TC 3.A.1)
Mannose and mannoside utilization in bifidobacteria	ManL	Putative beta-mannose-oligosaccharide ABC transport system ATP-binding component 1 (TC 3.A.1)
Mannose and mannoside utilization in bifidobacteria	ManM	Putative beta-mannose-oligosaccharide ABC transport system ATP-binding component 2 (TC 3.A.1)
Mannose and mannoside utilization in bifidobacteria	MnbR	Predicted transcriptional regulator of beta-mannose-oligosaccharide utilization (LacI family)
Mannose and mannoside utilization in bifidobacteria	BiMan2	Putative beta-1,4-mannosidase-2 (GH2)
Mannose and mannoside utilization in bifidobacteria	BiGlu1	Putative beta-1,4-glucosidase-2 (GH1)
Mannose and mannoside utilization in bifidobacteria	GmoA	Putative glucomannan oligosaccharide ABC transporter substrate-binding component (TC 3.A.1.1)
Mannose and mannoside utilization in bifidobacteria	GmoB	Putative glucomannan oligosaccharide ABC transporter permease component 1 (TC 3.A.1.1)
Mannose and mannoside utilization in bifidobacteria	GmoC	Putative glucomannan oligosaccharide ABC transporter permease component 2 (TC 3.A.1.1)
Mannose and mannoside utilization in bifidobacteria	GmoR	Putative transcriptional regulator of glucomannan oligosaccharide utilization (LacI family)
Xylose and xyloside utilization in bifidobacteria	XylA	Xylose isomerase (EC 5.3.1.5)
Xylose and xyloside utilization in bifidobacteria	XylB	Xylulose kinase (EC 2.7.1.17)
Xylose and xyloside utilization in bifidobacteria	XylF	Putative xylose ABC transporter substrate-binding component (TC 3.A.1.2)
Xylose and xyloside utilization in bifidobacteria	XylG	Putative xylose ABC transporter ATP-binding component (TC 3.A.1.2)
Xylose and xyloside utilization in bifidobacteria	XylH	Putative xylose ABC transporter permease component (TC 3.A.1.2)
Xylose and xyloside utilization in bifidobacteria	XylR	Putative transcriptional regulator of xylose utilization (ROK family)
Xylose and xyloside utilization in bifidobacteria	FruE	Fructose/xylose/ribose/arabinose ABC transporter substrate-binding component (TC 3.A.1.2.23)
Xylose and xyloside utilization in bifidobacteria	FruF	Fructose/xylose/ribose/arabinose ABC transporter permease component 1 (TC 3.A.1.2.23)
Xylose and xyloside utilization in bifidobacteria	FruG	Fructose/xylose/ribose/arabinose ABC transporter permease component 2 (TC 3.A.1.2.23)
Xylose and xyloside utilization in bifidobacteria	FruK	Fructose/xylose/ribose/arabinose ABC transporter ATP-binding component (TC 3.A.1.2.23)
Xylose and xyloside utilization in bifidobacteria	AraA	L-arabinose isomerase (EC 5.3.1.4)
Xylose and xyloside utilization in bifidobacteria	AraB	Ribulokinase (EC 2.7.1.16)
Xylose and xyloside utilization in bifidobacteria	AraD	L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)
Xylose and xyloside utilization in bifidobacteria	AraF	Putative pentose (arabinose/xylose) ABC transporter substrate-binding component (TC 3.A.1.2)
Xylose and xyloside utilization in bifidobacteria	AraG	Putative pentose (arabinose/xylose) ABC transporter ATP-binding component (TC 3.A.1.2)
Xylose and xyloside utilization in bifidobacteria	AraH	Putative pentose (arabinose/xylose) ABC transporter permease component (TC 3.A.1.2)
Xylose and xyloside utilization in bifidobacteria	BpXyl43C	Beta-1,4-xylosidase-3 (GH43_11)
Xylose and xyloside utilization in bifidobacteria	BpAbf43B	Monosubstituted AXOS alpha-1,2/3-L-arabinofuranosidase (GH43_12)
Xylose and xyloside utilization in bifidobacteria	AXe20A	Putative XOS/AXOS acetyl or feruloyl esterase-1 (CE20)
Xylose and xyloside utilization in bifidobacteria	AXeA	Putative XOS/AXOS acetyl or feruloyl esterase-1
Xylose and xyloside utilization in bifidobacteria	XosA	XOS/AXOS ABC transporter-1 substrate-binding component (TC 3.A.1.1)
Xylose and xyloside utilization in bifidobacteria	XosB	XOS/AXOS ABC transporter-1 permease component 1 (TC 3.A.1.1)
Xylose and xyloside utilization in bifidobacteria	XosC	XOS/AXOS ABC transporter-1 permease component 2 (TC 3.A.1.1)
Xylose and xyloside utilization in bifidobacteria	XosR	Putative transcriptional regulator of XOS/AXOS utilization (LacI family)
Xylose and xyloside utilization in bifidobacteria	BpXyl43A	Beta-1,4-xylosidase-1 (GH43_11)
Xylose and xyloside utilization in bifidobacteria	BpXyl120A	Beta-1,4-xylosidase-1 (GH120)
Xylose and xyloside utilization in bifidobacteria	RexA	Reducing end xylose-releasing exo-oligoxylanase-1 (GH8)
Xylose and xyloside utilization in bifidobacteria	BpAbf43A	Double substituted AXOS alpha-1,3-L-arabinofuranosidase (GH43_10)
Xylose and xyloside utilization in bifidobacteria	Abf43D	Putative alpha-L-arabinofuranosidase (GH43_27)
Xylose and xyloside utilization in bifidobacteria	AXeB	Putative XOS/AXOS acetyl or feruloyl esterase-2
Xylose and xyloside utilization in bifidobacteria	XosD	XOS/AXOS ABC transporter-2 substrate-binding component (TC 3.A.1.5)
Xylose and xyloside utilization in bifidobacteria	XosE	XOS/AXOS ABC transporter-2 permease component 1 (TC 3.A.1.5)
Xylose and xyloside utilization in bifidobacteria	XosF	XOS/AXOS ABC transporter-2 permease component 2 (TC 3.A.1.5)
Xylose and xyloside utilization in bifidobacteria	XosG	XOS/AXOS ABC transporter-2 ATP-binding component 1 (TC 3.A.1.5)
Xylose and xyloside utilization in bifidobacteria	XosH	XOS/AXOS ABC transporter-2 ATP-binding component 2 (TC 3.A.1.5)
Xylose and xyloside utilization in bifidobacteria	BpXyl43B	Beta-1,4-xylosidase-2 (GH43_11)
Xylose and xyloside utilization in bifidobacteria	BpXyl120B	Beta-1,4-xylosidase-2 (GH120)
Xylose and xyloside utilization in bifidobacteria	RexB	Reducing end xylose-releasing exo-oligoxylanase-2 (GH8)
Xylose and xyloside utilization in bifidobacteria	AXe20B	Putative XOS/AXOS acetyl or feruloyl esterase-2 (CE20)
Xylose and xyloside utilization in bifidobacteria	XosK	Arabinoxylooligosaccharide ABC transporter substrate-binding component (TC 3.A.1.1)
Xylose and xyloside utilization in bifidobacteria	XosL	Arabinoxylooligosaccharide ABC transporter permease component 1 (TC 3.A.1.1)
Xylose and xyloside utilization in bifidobacteria	XosM	Arabinoxylooligosaccharide ABC transporter permease component 2 (TC 3.A.1.1)
Xylose and xyloside utilization in bifidobacteria	BpXyn10A	Extracellular endo-beta-1,4-xylanase (GH10)
